Locations,Total_Transactions_Locationwise,Total_Amount,Quarter,Year,State
rohtas district,3409156,7988380312,3,2021,bihar
begusarai district,3382669,7023004546,3,2021,bihar
supaul district,2247423,5797237916,3,2021,bihar
sitamarhi district,3071280,7538949775,3,2021,bihar
saran district,4909074,10653230755,3,2021,bihar
arwal district,655254,1419881954,3,2021,bihar
vaishali district,4483512,10019125518,3,2021,bihar
pashchim champaran district,5626291,12052580759,3,2021,bihar
gopalganj district,3591809,7691691800,3,2021,bihar
lakhisarai district,944664,2099202463,3,2021,bihar
aurangabad district,2970923,6528699841,3,2021,bihar
kaimur bhabua district,1218238,2858892135,3,2021,bihar
araria district,2813200,7222773479,3,2021,bihar
munger district,1519400,3211090932,3,2021,bihar
katihar district,3783324,9267765710,3,2021,bihar
khagaria district,1706354,4317169777,3,2021,bihar
saharsa district,2350666,5488205887,3,2021,bihar
bhagalpur district,6299248,12979510130,3,2021,bihar
madhubani district,5236281,11442243635,3,2021,bihar
kishanganj district,1562190,4550836950,3,2021,bihar
gaya district,5929649,12593071266,3,2021,bihar
samastipur district,4742581,10599568038,3,2021,bihar
banka district,1086496,2393088091,3,2021,bihar
purbi champaran district,7528149,17061553144,3,2021,bihar
sheohar district,590061,1494759528,3,2021,bihar
bhojpur district,2448022,5721558826,3,2021,bihar
madhepura district,2669341,6728032171,4,2021,bihar
purnia district,6360264,14308666373,4,2021,bihar
nalanda district,4304381,9545809062,4,2021,bihar
buxar district,1873253,4694593051,4,2021,bihar
darbhanga district,7502523,16126372900,4,2021,bihar
nawada district,2795470,6745497141,4,2021,bihar
jamui district,2194277,4855309103,4,2021,bihar
sheikhpura district,618189,1512241025,4,2021,bihar
siwan district,9398007,20337077707,4,2021,bihar
muzaffarpur district,11287438,25294883683,4,2021,bihar
patna district,81765610,1.51293E+11,4,2021,bihar
jehanabad district,1714631,4022284737,4,2021,bihar
rohtas district,4602525,11042288317,4,2021,bihar
begusarai district,4482558,9435583920,4,2021,bihar
supaul district,3015274,7393939188,4,2021,bihar
sitamarhi district,4153350,10194421150,4,2021,bihar
saran district,6615773,15141561808,4,2021,bihar
arwal district,924102,1877460509,4,2021,bihar
vaishali district,5962902,13534123655,4,2021,bihar
pashchim champaran district,7557978,16286679058,4,2021,bihar
gopalganj district,4774101,10667558196,4,2021,bihar
lakhisarai district,1267087,2862649367,4,2021,bihar
aurangabad district,4053207,8846145771,4,2021,bihar
kaimur bhabua district,1629114,4043696220,4,2021,bihar
araria district,3740380,8956552823,4,2021,bihar
munger district,2073784,4430721083,4,2021,bihar
katihar district,5138243,11740684682,4,2021,bihar
khagaria district,2299254,5441172620,4,2021,bihar
saharsa district,3136205,6870412639,4,2021,bihar
bhagalpur district,8447521,17306243346,4,2021,bihar
madhubani district,7114778,15424171781,4,2021,bihar
kishanganj district,2070748,5895020870,4,2021,bihar
gaya district,7707242,16641218690,4,2021,bihar
samastipur district,6267039,13761709166,4,2021,bihar
banka district,1483610,3162310457,4,2021,bihar
purbi champaran district,9979391,22867973831,4,2021,bihar
sheohar district,799885,2042474878,4,2021,bihar
bhojpur district,3347510,8040908494,4,2021,bihar
madhepura district,3384919,8169628761,1,2022,bihar
purnia district,7761464,17165083851,1,2022,bihar
nalanda district,5035999,11341779105,1,2022,bihar
buxar district,2213876,5781443013,1,2022,bihar
darbhanga district,8600500,18524507493,1,2022,bihar
nawada district,3382331,8162305155,1,2022,bihar
jamui district,2761886,6174044424,1,2022,bihar
sheikhpura district,738851,1907084230,1,2022,bihar
siwan district,10720865,22973497585,1,2022,bihar
muzaffarpur district,12910258,29225131277,1,2022,bihar
patna district,91217400,1.70739E+11,1,2022,bihar
jehanabad district,1918857,4509669904,1,2022,bihar
rohtas district,5494559,14390577492,1,2022,bihar
begusarai district,5140182,10746300574,1,2022,bihar
supaul district,3890072,9470838253,1,2022,bihar
sitamarhi district,4933418,12169886829,1,2022,bihar
saran district,7423680,16777415647,1,2022,bihar
arwal district,1056566,2377609326,1,2022,bihar
vaishali district,6884744,15427137498,1,2022,bihar
pashchim champaran district,9265237,20305406431,1,2022,bihar
gopalganj district,5437535,11970509320,1,2022,bihar
lakhisarai district,1489189,3458134393,1,2022,bihar
aurangabad district,4926976,11760556907,1,2022,bihar
kaimur bhabua district,1983220,5412923796,1,2022,bihar
araria district,4907830,11563147720,1,2022,bihar
munger district,2340138,5011636916,1,2022,bihar
katihar district,6255367,14031611245,1,2022,bihar
khagaria district,2655355,6309072164,1,2022,bihar
saharsa district,3894203,8654311080,1,2022,bihar
bhagalpur district,10073459,20799502005,1,2022,bihar
madhubani district,8110120,18147098699,1,2022,bihar
kishanganj district,2696563,7872047087,1,2022,bihar
gaya district,9087772,20921479271,1,2022,bihar
samastipur district,7178902,15787707877,1,2022,bihar
banka district,1820481,3997541788,1,2022,bihar
purbi champaran district,11934864,27143934069,1,2022,bihar
sheohar district,934918,2380342633,1,2022,bihar
bhojpur district,3927878,9851793260,1,2022,bihar
madhepura district,4209207,10528550900,2,2022,bihar
purnia district,9889577,21758789746,2,2022,bihar
nalanda district,6269480,14053342100,2,2022,bihar
buxar district,2797437,7161712618,2,2022,bihar
darbhanga district,10725196,23025583344,2,2022,bihar
nawada district,4118007,10454110804,2,2022,bihar
jamui district,3528608,7664159458,2,2022,bihar
sheikhpura district,953725,2388511372,2,2022,bihar
siwan district,13494216,28063144037,2,2022,bihar
muzaffarpur district,16060062,35870055221,2,2022,bihar
patna district,119754430,2.15949E+11,2,2022,bihar
jehanabad district,2181068,4962454493,2,2022,bihar
rohtas district,6569923,16999683486,2,2022,bihar
begusarai district,6463752,13396079470,2,2022,bihar
supaul district,4800847,11542262441,2,2022,bihar
sitamarhi district,6268537,14845317009,2,2022,bihar
saran district,9482396,21097797509,2,2022,bihar
arwal district,1219651,2833934564,2,2022,bihar
vaishali district,8483096,18791974628,2,2022,bihar
pashchim champaran district,10647366,22189359146,2,2022,bihar
gopalganj district,6866807,14516572895,2,2022,bihar
lakhisarai district,1833275,4178741900,2,2022,bihar
aurangabad district,5998050,13966695912,2,2022,bihar
kaimur bhabua district,2446252,6576390597,2,2022,bihar
araria district,6068247,14540177018,2,2022,bihar
munger district,2942234,6133298410,2,2022,bihar
katihar district,8028934,17364725135,2,2022,bihar
khagaria district,3319181,8105786237,2,2022,bihar
saharsa district,4720666,10425194153,2,2022,bihar
bhagalpur district,13606084,27138540976,2,2022,bihar
madhubani district,9968959,22075739376,2,2022,bihar
kishanganj district,3377891,9041606905,2,2022,bihar
gaya district,10986567,25092417405,2,2022,bihar
samastipur district,8955837,19625456128,2,2022,bihar
banka district,2349784,4974783639,2,2022,bihar
purbi champaran district,14735078,32099286218,2,2022,bihar
sheohar district,1194107,3004542074,2,2022,bihar
bhojpur district,4830495,12025976489,2,2022,bihar
madhepura district,4155258,8953953685,3,2022,bihar
purnia district,9688113,18855257893,3,2022,bihar
nalanda district,6312480,12758737340,3,2022,bihar
buxar district,2865171,6267094765,3,2022,bihar
darbhanga district,10324556,19863946497,3,2022,bihar
nawada district,4486372,10110506715,3,2022,bihar
jamui district,3946599,7696647529,3,2022,bihar
sheikhpura district,918143,2159710164,3,2022,bihar
siwan district,9418848,18122655170,3,2022,bihar
muzaffarpur district,16912765,33481627797,3,2022,bihar
patna district,188665398,2.9886E+11,3,2022,bihar
jehanabad district,2448662,4817559409,3,2022,bihar
rohtas district,6784436,14544338902,3,2022,bihar
begusarai district,7583904,14221932160,3,2022,bihar
supaul district,4921556,10141522251,3,2022,bihar
sitamarhi district,12134163,22642688424,3,2022,bihar
saran district,10802033,20973427432,3,2022,bihar
arwal district,1236701,2467707363,3,2022,bihar
vaishali district,9169007,18511476453,3,2022,bihar
pashchim champaran district,11723439,21455732877,3,2022,bihar
gopalganj district,7957267,14444438768,3,2022,bihar
lakhisarai district,1805206,3725300700,3,2022,bihar
aurangabad district,5912006,11748526558,3,2022,bihar
kaimur bhabua district,2341336,5227485997,3,2022,bihar
araria district,6340369,13243913152,3,2022,bihar
munger district,2750473,5290417307,3,2022,bihar
katihar district,8203134,15746213806,3,2022,bihar
khagaria district,3304286,7232845389,3,2022,bihar
saharsa district,5029944,9756024807,3,2022,bihar
bhagalpur district,8342252,16048487258,3,2022,bihar
madhubani district,9999220,19516793345,3,2022,bihar
kishanganj district,3653577,8599495658,3,2022,bihar
gaya district,11189071,23491978227,3,2022,bihar
samastipur district,12531008,23600501220,3,2022,bihar
banka district,2758275,5282684097,3,2022,bihar
purbi champaran district,14515173,28167506673,3,2022,bihar
sheohar district,1221390,2733020743,3,2022,bihar
bhojpur district,5015794,10683915586,3,2022,bihar
madhepura district,5022050,10394138384,4,2022,bihar
purnia district,10279227,20057462337,4,2022,bihar
nalanda district,7514886,15020248162,4,2022,bihar
buxar district,3859617,8273334277,4,2022,bihar
darbhanga district,12146750,22879238312,4,2022,bihar
nawada district,4969118,10797138677,4,2022,bihar
jamui district,4745328,9004026158,4,2022,bihar
sheikhpura district,1523803,3199876557,4,2022,bihar
siwan district,12408052,23745856585,4,2022,bihar
muzaffarpur district,19056253,37684755617,4,2022,bihar
patna district,217434851,3.52394E+11,4,2022,bihar
jehanabad district,2844066,5377284750,4,2022,bihar
rohtas district,8337061,17861976614,4,2022,bihar
begusarai district,8893901,16334643256,4,2022,bihar
supaul district,6223660,12023032236,4,2022,bihar
sitamarhi district,11973091,22844727997,4,2022,bihar
saran district,13791757,26710050303,4,2022,bihar
arwal district,1753363,3359266565,4,2022,bihar
vaishali district,13468090,26133475409,4,2022,bihar
pashchim champaran district,13798685,25203288881,4,2022,bihar
gopalganj district,8691592,16157351384,4,2022,bihar
lakhisarai district,2222938,4387567184,4,2022,bihar
aurangabad district,7443654,14382742227,4,2022,bihar
kaimur bhabua district,2948908,6480522742,4,2022,bihar
araria district,7506762,15306990824,4,2022,bihar
munger district,3517170,6540000511,4,2022,bihar
katihar district,9792573,17698024130,4,2022,bihar
khagaria district,4032933,8408292444,4,2022,bihar
saharsa district,5976774,11202536902,4,2022,bihar
bhagalpur district,8897955,16890265333,4,2022,bihar
madhubani district,12545809,23814034851,4,2022,bihar
kishanganj district,4547825,10323745246,4,2022,bihar
gaya district,14024331,28395718045,4,2022,bihar
samastipur district,13239614,25127091204,4,2022,bihar
banka district,4955109,8935956599,4,2022,bihar
purbi champaran district,19272446,36872763823,4,2022,bihar
sheohar district,1532102,3282461020,4,2022,bihar
bhojpur district,5892545,12508501979,4,2022,bihar
chandigarh district,381895,613435420.9,1,2018,chandigarh
chandigarh district,479084,961223261.7,2,2018,chandigarh
chandigarh district,616936,1369354448,3,2018,chandigarh
chandigarh district,905116,2032591592,4,2018,chandigarh
chandigarh district,1274476,2396032050,1,2019,chandigarh
chandigarh district,1252470,2693116099,2,2019,chandigarh
chandigarh district,1506543,3269682088,3,2019,chandigarh
chandigarh district,1850915,4152513818,4,2019,chandigarh
chandigarh district,2262511,5126453070,1,2020,chandigarh
chandigarh district,1528010,3847015730,2,2020,chandigarh
chandigarh district,2158086,5089809353,3,2020,chandigarh
chandigarh district,2912716,6146762901,4,2020,chandigarh
chandigarh district,3970237,7596420860,1,2021,chandigarh
chandigarh district,4417547,8417673940,2,2021,chandigarh
chandigarh district,6649378,11815883005,3,2021,chandigarh
chandigarh district,7898903,14373583511,4,2021,chandigarh
chandigarh district,8600491,15174991550,1,2022,chandigarh
chandigarh district,10772489,17283500158,2,2022,chandigarh
chandigarh district,13478173,20559757737,3,2022,chandigarh
chandigarh district,17904840,27879754567,4,2022,chandigarh
dhamtari district,40907,36969406.65,1,2018,chhattisgarh
korba district,93345,99366683.14,1,2018,chhattisgarh
surajpur district,35573,34242977.15,1,2018,chhattisgarh
baloda bazar district,61987,55455251.91,1,2018,chhattisgarh
sukma district,3825,6509136.045,1,2018,chhattisgarh
raigarh district,133135,140463994.7,1,2018,chhattisgarh
janjgir champa district,219761,223984259.5,1,2018,chhattisgarh
jashpur district,41174,39068620.44,1,2018,chhattisgarh
balod district,36121,33548672.66,1,2018,chhattisgarh
kabirdham district,32615,22661025.45,1,2018,chhattisgarh
surguja district,68251,77822921.04,1,2018,chhattisgarh
dantewada district,8452,12999922.81,1,2018,chhattisgarh
gariyaband district,40648,38684589.84,1,2018,chhattisgarh
durg district,226774,274435199.8,1,2018,chhattisgarh
rajnandgaon district,73040,79830832.05,1,2018,chhattisgarh
raipur district,323570,474633363.9,1,2018,chhattisgarh
narayanpur district,2998,2964107.202,1,2018,chhattisgarh
kanker district,29788,28373231.32,1,2018,chhattisgarh
korea district,39025,44008432.87,1,2018,chhattisgarh
mungeli district,19819,15819138.35,1,2018,chhattisgarh
bilaspur district,158509,169865045.9,1,2018,chhattisgarh
balrampur district,29546,41793646.19,1,2018,chhattisgarh
bijapur district,5863,10478592.79,1,2018,chhattisgarh
bemetara district,41406,40326244.06,1,2018,chhattisgarh
bastar district,38895,50365512.89,1,2018,chhattisgarh
kondagaon district,22249,25283402.37,1,2018,chhattisgarh
mahasamund district,64238,69201346.07,1,2018,chhattisgarh
dhamtari district,64767,75916210.49,2,2018,chhattisgarh
korba district,138391,211036250,2,2018,chhattisgarh
surajpur district,52149,71214642.8,2,2018,chhattisgarh
baloda bazar district,92920,133808358.2,2,2018,chhattisgarh
sukma district,6329,17216596.74,2,2018,chhattisgarh
raigarh district,190903,269228922.8,2,2018,chhattisgarh
janjgir champa district,402022,565626317.4,2,2018,chhattisgarh
jashpur district,57456,81880457.76,2,2018,chhattisgarh
balod district,51273,55679688.82,2,2018,chhattisgarh
kabirdham district,45836,50368745.15,2,2018,chhattisgarh
surguja district,94260,156057826.5,2,2018,chhattisgarh
dantewada district,16759,33319758.31,2,2018,chhattisgarh
gariyaband district,54234,69652731.45,2,2018,chhattisgarh
durg district,302345,466514532.1,2,2018,chhattisgarh
rajnandgaon district,118132,152826147.2,2,2018,chhattisgarh
raipur district,470127,841704574.3,2,2018,chhattisgarh
narayanpur district,4613,6008458.096,2,2018,chhattisgarh
kanker district,39505,60601702.39,2,2018,chhattisgarh
korea district,54668,95050511.51,2,2018,chhattisgarh
mungeli district,31126,36967297.02,2,2018,chhattisgarh
bilaspur district,227499,324449553.3,2,2018,chhattisgarh
balrampur district,45309,112473572.3,2,2018,chhattisgarh
bijapur district,12815,26201133.9,2,2018,chhattisgarh
bemetara district,61257,80647586.93,2,2018,chhattisgarh
bastar district,57153,96021635.69,2,2018,chhattisgarh
kondagaon district,31090,49190220.38,2,2018,chhattisgarh
mahasamund district,93218,124507011.7,2,2018,chhattisgarh
dhamtari district,82428,117488009,3,2018,chhattisgarh
korba district,184852,293436194.6,3,2018,chhattisgarh
surajpur district,70726,117394526.2,3,2018,chhattisgarh
baloda bazar district,127539,204693993,3,2018,chhattisgarh
sukma district,14906,34497222.33,3,2018,chhattisgarh
raigarh district,263831,410153295.3,3,2018,chhattisgarh
janjgir champa district,544027,761781545.7,3,2018,chhattisgarh
jashpur district,68085,107652984.4,3,2018,chhattisgarh
balod district,71561,92661258.52,3,2018,chhattisgarh
kabirdham district,59769,79081577.1,3,2018,chhattisgarh
surguja district,123129,222467433.7,3,2018,chhattisgarh
dantewada district,30707,61983191.58,3,2018,chhattisgarh
gariyaband district,68853,100197481.7,3,2018,chhattisgarh
durg district,397408,670651315.7,3,2018,chhattisgarh
rajnandgaon district,154856,234428137.1,3,2018,chhattisgarh
raipur district,659871,1235190304,3,2018,chhattisgarh
narayanpur district,10326,14992218.07,3,2018,chhattisgarh
kanker district,62200,99066430.66,3,2018,chhattisgarh
korea district,79975,151849657.9,3,2018,chhattisgarh
mungeli district,40168,58982986.65,3,2018,chhattisgarh
bilaspur district,335751,498127861.8,3,2018,chhattisgarh
balrampur district,59664,150052868.3,3,2018,chhattisgarh
bijapur district,23318,52221607.49,3,2018,chhattisgarh
bemetara district,73056,110600944.9,3,2018,chhattisgarh
bastar district,84286,152773164.9,3,2018,chhattisgarh
kondagaon district,42641,70026983.48,3,2018,chhattisgarh
mahasamund district,125671,199853879.4,3,2018,chhattisgarh
dhamtari district,108799,164708734,4,2018,chhattisgarh
korba district,270387,480365449.4,4,2018,chhattisgarh
surajpur district,109764,192938270.2,4,2018,chhattisgarh
baloda bazar district,190033,295982106.4,4,2018,chhattisgarh
sukma district,29759,66493047.42,4,2018,chhattisgarh
raigarh district,371009,609355216.1,4,2018,chhattisgarh
janjgir champa district,669790,1023380163,4,2018,chhattisgarh
jashpur district,91425,181439133.8,4,2018,chhattisgarh
balod district,101967,149467198.1,4,2018,chhattisgarh
kabirdham district,90957,130261125.5,4,2018,chhattisgarh
surguja district,174043,354179706.5,4,2018,chhattisgarh
dantewada district,51960,114087585.9,4,2018,chhattisgarh
gariyaband district,82751,154467158.4,4,2018,chhattisgarh
durg district,529904,944287367.6,4,2018,chhattisgarh
rajnandgaon district,204099,352901504.8,4,2018,chhattisgarh
raipur district,891868,1740861108,4,2018,chhattisgarh
narayanpur district,20798,37921533.68,4,2018,chhattisgarh
kanker district,102769,204619479.1,4,2018,chhattisgarh
korea district,122536,237083469.3,4,2018,chhattisgarh
mungeli district,82792,106414846.4,4,2018,chhattisgarh
bilaspur district,471373,730446431.9,4,2018,chhattisgarh
balrampur district,92320,247643052.9,4,2018,chhattisgarh
bijapur district,38826,83030265.77,4,2018,chhattisgarh
bemetara district,100405,156087709.9,4,2018,chhattisgarh
bastar district,123188,240073969.7,4,2018,chhattisgarh
kondagaon district,63449,120750465.6,4,2018,chhattisgarh
mahasamund district,178873,297166565.8,4,2018,chhattisgarh
dhamtari district,127393,209101529.9,1,2019,chhattisgarh
korba district,372554,577233813.8,1,2019,chhattisgarh
surajpur district,147208,231844122.9,1,2019,chhattisgarh
baloda bazar district,241579,389323840.8,1,2019,chhattisgarh
sukma district,43905,89330823.72,1,2019,chhattisgarh
raigarh district,487271,806661077.7,1,2019,chhattisgarh
janjgir champa district,772956,1002709901,1,2019,chhattisgarh
jashpur district,110172,222488873.2,1,2019,chhattisgarh
balod district,121587,177414585,1,2019,chhattisgarh
kabirdham district,119875,163043397.7,1,2019,chhattisgarh
surguja district,227723,429088362,1,2019,chhattisgarh
dantewada district,63018,131673356.2,1,2019,chhattisgarh
gariyaband district,92577,168035253.8,1,2019,chhattisgarh
durg district,1008156,1453318462,1,2019,chhattisgarh
rajnandgaon district,247733,400107405.4,1,2019,chhattisgarh
raipur district,1847370,2956050312,1,2019,chhattisgarh
narayanpur district,26074,49783663.73,1,2019,chhattisgarh
kanker district,122627,239779871.6,1,2019,chhattisgarh
korea district,161384,271127156.5,1,2019,chhattisgarh
mungeli district,79597,130902009.1,1,2019,chhattisgarh
bilaspur district,760633,1049002077,1,2019,chhattisgarh
balrampur district,115076,312596791.5,1,2019,chhattisgarh
bijapur district,47810,92607592.19,1,2019,chhattisgarh
bemetara district,110242,185597216,1,2019,chhattisgarh
bastar district,164104,303174307.2,1,2019,chhattisgarh
kondagaon district,73753,132832437.8,1,2019,chhattisgarh
mahasamund district,195292,369728146.2,1,2019,chhattisgarh
dhamtari district,129792,224601064.6,2,2019,chhattisgarh
korba district,333692,647738439.6,2,2019,chhattisgarh
surajpur district,132413,271873847.1,2,2019,chhattisgarh
baloda bazar district,221143,425860968.6,2,2019,chhattisgarh
sukma district,49779,135038882.9,2,2019,chhattisgarh
raigarh district,431031,837453321.4,2,2019,chhattisgarh
janjgir champa district,559574,924458855.5,2,2019,chhattisgarh
jashpur district,117254,264280533.2,2,2019,chhattisgarh
balod district,126367,214449206.3,2,2019,chhattisgarh
kabirdham district,112190,192177770.7,2,2019,chhattisgarh
surguja district,217707,486013730.9,2,2019,chhattisgarh
dantewada district,67171,170474770.4,2,2019,chhattisgarh
gariyaband district,88745,183912563.1,2,2019,chhattisgarh
durg district,1547551,2380514730,2,2019,chhattisgarh
rajnandgaon district,254329,483937834.9,2,2019,chhattisgarh
raipur district,3068366,5288462569,2,2019,chhattisgarh
narayanpur district,28248,53965415.92,2,2019,chhattisgarh
kanker district,126925,288031799.9,2,2019,chhattisgarh
korea district,144064,294485943.7,2,2019,chhattisgarh
mungeli district,77646,155911222.3,2,2019,chhattisgarh
bilaspur district,845039,1454675924,2,2019,chhattisgarh
balrampur district,119100,347340407.6,2,2019,chhattisgarh
bijapur district,62405,165337534.9,2,2019,chhattisgarh
bemetara district,109005,196623353.2,2,2019,chhattisgarh
bastar district,162781,366941641.6,2,2019,chhattisgarh
kondagaon district,71252,156325610.7,2,2019,chhattisgarh
mahasamund district,186376,391467746.3,2,2019,chhattisgarh
dhamtari district,178554,267008482.6,3,2019,chhattisgarh
korba district,423953,720041271.9,3,2019,chhattisgarh
surajpur district,164739,289672855,3,2019,chhattisgarh
baloda bazar district,290500,476320269.7,3,2019,chhattisgarh
sukma district,69659,156368729.5,3,2019,chhattisgarh
raigarh district,551609,927881426.8,3,2019,chhattisgarh
janjgir champa district,796397,1162313123,3,2019,chhattisgarh
jashpur district,152015,259121301.7,3,2019,chhattisgarh
balod district,162963,249468764.9,3,2019,chhattisgarh
kabirdham district,143834,217234590.2,3,2019,chhattisgarh
surguja district,293050,535846373.9,3,2019,chhattisgarh
dantewada district,100063,207146775.6,3,2019,chhattisgarh
gariyaband district,118147,198947427.7,3,2019,chhattisgarh
durg district,2023250,2714043340,3,2019,chhattisgarh
rajnandgaon district,347908,543905597,3,2019,chhattisgarh
raipur district,3977297,6485603479,3,2019,chhattisgarh
narayanpur district,38609,62303879.75,3,2019,chhattisgarh
kanker district,187349,350436897.8,3,2019,chhattisgarh
korea district,179034,332214564.6,3,2019,chhattisgarh
mungeli district,91597,160821668.6,3,2019,chhattisgarh
bilaspur district,998165,1661024493,3,2019,chhattisgarh
balrampur district,149868,357557994.3,3,2019,chhattisgarh
bijapur district,91833,198283499.4,3,2019,chhattisgarh
bemetara district,144795,215769362,3,2019,chhattisgarh
bastar district,223444,425608185.9,3,2019,chhattisgarh
kondagaon district,98865,176502268.4,3,2019,chhattisgarh
mahasamund district,245614,451812545.5,3,2019,chhattisgarh
dhamtari district,226628,364594358.2,4,2019,chhattisgarh
korba district,579614,1007648572,4,2019,chhattisgarh
surajpur district,224124,411575360.2,4,2019,chhattisgarh
baloda bazar district,372076,645723475.1,4,2019,chhattisgarh
sukma district,84343,205940213.6,4,2019,chhattisgarh
raigarh district,727666,1244726771,4,2019,chhattisgarh
janjgir champa district,869528,1362422000,4,2019,chhattisgarh
jashpur district,194854,350361155.7,4,2019,chhattisgarh
balod district,211986,332199715.1,4,2019,chhattisgarh
kabirdham district,185476,282998909.4,4,2019,chhattisgarh
surguja district,398053,730934546.7,4,2019,chhattisgarh
dantewada district,117225,265146167.7,4,2019,chhattisgarh
gariyaband district,147799,255244213.8,4,2019,chhattisgarh
durg district,2628735,3617557460,4,2019,chhattisgarh
rajnandgaon district,445558,711713323.6,4,2019,chhattisgarh
raipur district,5644383,9527539916,4,2019,chhattisgarh
narayanpur district,46004,79062278.69,4,2019,chhattisgarh
kanker district,232027,452866036,4,2019,chhattisgarh
korea district,244650,448456877.5,4,2019,chhattisgarh
mungeli district,124192,211669072.7,4,2019,chhattisgarh
bilaspur district,1367178,2176560886,4,2019,chhattisgarh
balrampur district,203589,479163643.4,4,2019,chhattisgarh
bijapur district,112547,258665089.1,4,2019,chhattisgarh
bemetara district,183767,308208450.5,4,2019,chhattisgarh
bastar district,290231,574718383.2,4,2019,chhattisgarh
kondagaon district,123171,227155763,4,2019,chhattisgarh
mahasamund district,320354,610936099.5,4,2019,chhattisgarh
dhamtari district,327305,540051855.9,1,2020,chhattisgarh
korba district,718120,1166839868,1,2020,chhattisgarh
surajpur district,271529,473520926.4,1,2020,chhattisgarh
baloda bazar district,458451,758990785.3,1,2020,chhattisgarh
sukma district,103677,237179270.9,1,2020,chhattisgarh
raigarh district,853049,1441862103,1,2020,chhattisgarh
janjgir champa district,931656,1488048447,1,2020,chhattisgarh
jashpur district,245808,399914857,1,2020,chhattisgarh
balod district,266297,405890896.2,1,2020,chhattisgarh
kabirdham district,226697,333091859.6,1,2020,chhattisgarh
surguja district,471783,825221523.2,1,2020,chhattisgarh
dantewada district,137611,289371036.1,1,2020,chhattisgarh
gariyaband district,179753,298939099.6,1,2020,chhattisgarh
durg district,2720717,3703033692,1,2020,chhattisgarh
rajnandgaon district,530737,829638269.6,1,2020,chhattisgarh
raipur district,7165357,12890786407,1,2020,chhattisgarh
narayanpur district,53826,94150093.3,1,2020,chhattisgarh
kanker district,286427,543997906.3,1,2020,chhattisgarh
korea district,282413,495684980.8,1,2020,chhattisgarh
mungeli district,150686,245594493.8,1,2020,chhattisgarh
bilaspur district,1626602,2606579320,1,2020,chhattisgarh
balrampur district,250651,538258897.6,1,2020,chhattisgarh
bijapur district,134336,284069645,1,2020,chhattisgarh
bemetara district,228647,344270011.3,1,2020,chhattisgarh
bastar district,343428,648430548.1,1,2020,chhattisgarh
kondagaon district,163047,264923583,1,2020,chhattisgarh
mahasamund district,395381,712257295.6,1,2020,chhattisgarh
dhamtari district,417014,710351734.8,2,2020,chhattisgarh
korba district,944646,1508035673,2,2020,chhattisgarh
surajpur district,359594,668176436,2,2020,chhattisgarh
baloda bazar district,633348,1023037088,2,2020,chhattisgarh
sukma district,142964,350776600.3,2,2020,chhattisgarh
raigarh district,1086995,1795114178,2,2020,chhattisgarh
janjgir champa district,1248433,2013421604,2,2020,chhattisgarh
jashpur district,352428,567530236,2,2020,chhattisgarh
balod district,375043,548044714.9,2,2020,chhattisgarh
kabirdham district,326874,523719319.5,2,2020,chhattisgarh
surguja district,533916,943051720.6,2,2020,chhattisgarh
dantewada district,185996,395884888.1,2,2020,chhattisgarh
gariyaband district,256651,474806305.1,2,2020,chhattisgarh
durg district,2269659,3224351700,2,2020,chhattisgarh
rajnandgaon district,673472,1115085386,2,2020,chhattisgarh
raipur district,4506567,8132937028,2,2020,chhattisgarh
narayanpur district,79049,144153919.7,2,2020,chhattisgarh
kanker district,386419,720470774.5,2,2020,chhattisgarh
korea district,386555,725095695.9,2,2020,chhattisgarh
mungeli district,233660,403225447.3,2,2020,chhattisgarh
bilaspur district,1317592,2187204544,2,2020,chhattisgarh
balrampur district,364767,863677503.6,2,2020,chhattisgarh
bijapur district,178476,411677296.5,2,2020,chhattisgarh
bemetara district,326694,493432459,2,2020,chhattisgarh
bastar district,464740,971932585.9,2,2020,chhattisgarh
kondagaon district,214666,365998866.8,2,2020,chhattisgarh
mahasamund district,554707,987188501,2,2020,chhattisgarh
dhamtari district,464301,785732349.9,3,2020,chhattisgarh
korba district,1244497,2009501715,3,2020,chhattisgarh
surajpur district,466294,871383230.3,3,2020,chhattisgarh
baloda bazar district,771002,1235479975,3,2020,chhattisgarh
sukma district,169385,438530201.2,3,2020,chhattisgarh
raigarh district,1433072,2458680205,3,2020,chhattisgarh
janjgir champa district,1514440,2490630273,3,2020,chhattisgarh
jashpur district,430402,733938150.3,3,2020,chhattisgarh
balod district,471846,733232796,3,2020,chhattisgarh
kabirdham district,402381,608806472.3,3,2020,chhattisgarh
surguja district,707337,1327658513,3,2020,chhattisgarh
dantewada district,229155,513318881.2,3,2020,chhattisgarh
gariyaband district,302410,526052466.3,3,2020,chhattisgarh
durg district,3050549,4422630206,3,2020,chhattisgarh
rajnandgaon district,877383,1486830890,3,2020,chhattisgarh
raipur district,6042530,10684762115,3,2020,chhattisgarh
narayanpur district,88855,172616130.5,3,2020,chhattisgarh
kanker district,458506,944194080.8,3,2020,chhattisgarh
korea district,505107,903153468,3,2020,chhattisgarh
mungeli district,261398,440214275.1,3,2020,chhattisgarh
bilaspur district,1745292,2896159001,3,2020,chhattisgarh
balrampur district,441036,1014202448,3,2020,chhattisgarh
bijapur district,211349,499340515,3,2020,chhattisgarh
bemetara district,391183,568030403.7,3,2020,chhattisgarh
